time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-22T18:16:50.091Z,-28.4036,74.3417,10,4.9,mb,58,61,26.473,0.66,us,us6000ivsu,2022-10-22T18:34:25.040Z,"Mid-Indian Ridge",earthquake,11.33,1.703,0.067,71,reviewed,us,us
2022-10-22T15:30:01.482Z,-4.1732,150.9585,10,4.8,mb,45,89,6.421,0.67,us,us6000ivs4,2022-10-22T16:01:45.040Z,"133 km W of Rabaul, Papua New Guinea",earthquake,11.58,1.879,0.08,48,reviewed,us,us
2022-10-22T15:17:03.371Z,-1.0804,133.8453,37.817,4.5,mb,31,92,2.425,0.95,us,us6000ivs1,2022-10-22T16:19:13.040Z,"34 km SW of Manokwari, Indonesia",earthquake,8.86,8.05,0.124,19,reviewed,us,us
2022-10-22T12:50:39.294Z,7.7704,-81.597,11.501,4.5,mb,43,130,1.483,1.01,us,us6000ivrh,2022-10-22T13:07:44.569Z,"27 km SSW of Zapotillo, Panama",earthquake,6.75,6.117,0.086,40,reviewed,us,us
2022-10-22T12:05:56.323Z,46.4381,149.8789,10.6,5,mb,77,71,4.925,0.57,us,us6000ivre,2022-10-22T13:38:09.535Z,"205 km NE of Kuril’sk, Russia",earthquake,8.54,3.622,0.03,359,reviewed,us,us
2022-10-22T09:40:37.892Z,53.427,161.6761,10,4.9,mb,90,105,1.864,0.61,us,us6000ivqu,2022-10-22T10:09:48.040Z,"207 km E of Petropavlovsk-Kamchatsky, Russia",earthquake,7.99,1.861,0.038,213,reviewed,us,us
2022-10-22T07:32:28.010Z,18.2376,-63.7796,131,4.46,md,21,347,1.0632,0.34,pr,pr2022295002,2022-10-22T08:31:03.951Z,"Leeward Islands",earthquake,5.64,2.44,0.13,10,reviewed,pr,pr
2022-10-22T07:13:11.810Z,19.2616,-64.6288,28,3.68,md,11,298,0.9665,0.41,pr,pr2022295001,2022-10-22T08:06:26.477Z,"104 km N of Cruz Bay, U.S. Virgin Islands",earthquake,2.35,25.73,0.05,5,reviewed,pr,pr
2022-10-22T05:17:06.726Z,29.6307,102.0769,38.954,5.3,mww,146,16,8.434,0.78,us,us6000ivq1,2022-10-22T13:36:14.926Z,"",earthquake,8.79,5.814,0.071,19,reviewed,us,us
2022-10-22T05:12:30.190Z,18.8026,-64.5278,4,3.98,md,25,290,0.6217,0.4,pr,pr2022295000,2022-10-22T05:45:00.868Z,"59 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,2.89,2.78,0.08,17,reviewed,pr,pr
2022-10-22T05:02:35.218Z,61.8166,-151.082,63.3,4.4,ml,,,,0.61,ak,ak022djyj1sr,2022-10-24T14:15:48.618Z,"25 km SE of Skwentna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2022-10-22T03:40:17.403Z,11.1563,-86.8147,53.519,4.5,mb,31,172,1.132,1.03,us,us6000ivpg,2022-10-22T03:55:20.040Z,"near the coast of Nicaragua",earthquake,4.26,11.343,0.045,145,reviewed,us,us
2022-10-22T01:57:48.472Z,-6.2614,128.1512,345.487,4.3,mb,33,50,3.561,0.86,us,us6000ivp1,2022-10-22T02:12:21.040Z,"280 km NNE of Lospalos, Timor Leste",earthquake,8.14,6.775,0.122,20,reviewed,us,us
2022-10-21T22:04:04.282Z,-6.3477,103.6511,21.333,4.7,mb,57,71,2.092,0.65,us,us6000ivms,2022-10-21T23:01:39.040Z,"205 km WSW of Bandar Lampung, Indonesia",earthquake,6.63,4.867,0.087,40,reviewed,us,us
2022-10-21T21:26:22.961Z,-22.3492,-66.0276,271.875,4.4,mb,43,80,2.076,0.82,us,us6000ivmh,2022-10-21T21:42:31.040Z,"52 km WSW of La Quiaca, Argentina",earthquake,8.54,11.134,0.162,11,reviewed,us,us
2022-10-21T21:21:39.824Z,50.542,-169.8504,18.148,3.9,mb,39,193,2.285,0.99,us,us6000ivmr,2022-10-21T22:49:06.040Z,"275 km SSW of Nikolski, Alaska",earthquake,8.15,6.355,0.121,18,reviewed,us,us
2022-10-21T20:19:07.456Z,11.9267,57.938,10,4.8,mb,52,108,13.053,0.99,us,us6000ivm2,2022-10-24T21:40:45.337Z,"Owen Fracture Zone region",earthquake,11.19,1.866,0.074,57,reviewed,us,us
2022-10-21T19:57:57.476Z,31.6564568,-104.4200369,6.362939453,3.7,ml,14,71,0.01022913242,0.2,tx,tx2022uqvx,2022-10-22T20:00:10.972Z,"57 km S of Whites City, New Mexico",earthquake,1.3156499,1.265694837,0.1,20,reviewed,tx,tx
2022-10-21T19:44:44.672Z,7.5048,-82.1997,10,4.6,mb,56,149,1.369,1.24,us,us6000ivln,2022-10-22T02:19:37.363Z,"79 km S of Boca Chica, Panama",earthquake,3.83,1.863,0.078,49,reviewed,us,us
2022-10-21T19:38:35.642Z,44.5315,147.0322,144.055,4.4,mb,38,121,3.212,0.55,us,us6000ivlp,2022-10-21T19:59:48.040Z,"85 km NNE of Shikotan, Russia",earthquake,11.73,2.615,0.078,48,reviewed,us,us
2022-10-21T18:25:52.704Z,-6.4986,-80.9564,24.66,4.6,mb,15,163,3.062,1.22,us,us6000ivky,2022-10-21T21:57:52.543Z,"near the coast of northern Peru",earthquake,10.29,6.041,0.172,10,reviewed,us,us
2022-10-21T18:23:44.528Z,2.5214,127.8244,91.301,4.6,mb,48,126,1.797,0.74,us,us6000ivkw,2022-10-21T18:44:14.040Z,"90 km NNW of Tobelo, Indonesia",earthquake,5.59,8.84,0.082,44,reviewed,us,us
2022-10-21T17:57:07.840Z,-6.949,129.6335,151.51,4.8,mb,40,66,1.945,0.99,us,us6000ivkt,2022-10-21T18:13:05.040Z,"Banda Sea",earthquake,8.41,7.438,0.109,28,reviewed,us,us
2022-10-21T16:00:43.734Z,24.2029,94.6142,89.109,4.5,mb,40,78,4.085,0.67,us,us6000ivkb,2022-10-21T20:24:41.241Z,"65 km NNE of Mawlaik, Myanmar",earthquake,11.24,9.552,0.11,24,reviewed,us,us
2022-10-21T15:33:37.536Z,-22.8557,-66.5066,221.676,4.7,mb,25,125,1.545,0.66,us,us6000ivk9,2022-10-21T16:22:10.105Z,"84 km W of Abra Pampa, Argentina",earthquake,6.29,9.541,0.246,5,reviewed,us,us
2022-10-21T15:08:19.980Z,-30.5535,-71.6263,10,4.7,mb,38,143,0.716,1.45,us,us6000ivk6,2022-10-21T16:20:51.856Z,"41 km W of Ovalle, Chile",earthquake,4.24,1.01,0.093,35,reviewed,us,us
